,degree,count
0,31,3
1,65,1
2,34,1
3,115,1
4,101,1
5,26,6
6,27,1
7,44,1
8,12,18
9,22,7
10,47,1
11,1,2797
12,13,18
13,6,103
14,16,12
15,86,1
16,3,372
17,20,3
18,57,1
19,5,150
20,19,2
21,92,1
22,64,1
23,41,1
24,15,6
25,43,1
26,112,2
27,165,1
28,37,3
29,17,10
30,9,34
31,4,256
32,59,1
33,55,2
34,8,58
35,161,1
36,39,2
37,23,2
38,49,1
39,7,69
40,84,1
41,171,1
42,51,1
43,467,1
44,661,1
45,10,34
46,102,1
47,45,1
48,38,2
49,25,3
50,245,1
51,73,1
52,24,4
53,29,3
54,21,5
55,98,1
56,32,2
57,1511,1
58,145,1
59,58,2
60,11,22
61,33,2
62,71,1
63,14,16
64,198,1
65,424,1
66,2,924
67,79,1
68,30,2
69,46,1
70,18,9
71,74,1
