,degree,count
0,148,1
1,243,1
2,31,118
3,85,15
4,137,2
5,251,2
6,65,24
7,53,38
8,255,3
9,588,1
10,133,10
11,296,1
12,78,20
13,322,1
14,108,4
15,155,2
16,34,86
17,211,1
18,193,3
19,101,6
20,115,3
21,126,4
22,81,21
23,385,1
24,28,119
25,183,1
26,210,1
27,406,1
28,76,18
29,26,159
30,27,140
31,384,1
32,44,47
33,159,4
34,192,3
35,103,7
36,236,1
37,460,1
38,12,556
39,336,2
40,350,1
41,91,20
42,409,2
43,285,1
44,222,1
45,22,225
46,128,4
47,209,2
48,330,2
49,122,8
50,230,1
51,93,10
52,232,2
53,157,2
54,190,1
55,225,1
56,246,2
57,360,1
58,367,1
59,111,11
60,224,2
61,47,36
62,1300,1
63,177,1
64,132,2
65,152,6
66,444,1
67,185,2
68,305,1
69,291,1
70,325,2
71,386,1
72,146,5
73,259,1
74,1,10716
75,206,1
76,52,39
77,674,1
78,212,1
79,182,2
80,13,495
81,348,1
82,280,1
83,16,358
84,6,1571
85,86,9
86,168,3
87,205,1
88,3,4127
89,178,5
90,142,6
91,328,1
92,20,227
93,40,62
94,429,1
95,164,3
96,500,1
97,479,2
98,139,4
99,295,1
100,94,11
101,250,2
102,57,35
103,306,1
104,292,1
105,54,27
106,120,7
107,96,9
108,235,1
109,48,50
110,266,1
111,5,2025
112,163,1
113,191,1
114,258,1
115,19,263
116,430,1
117,92,14
118,419,1
119,257,1
120,117,10
121,64,25
122,227,1
123,41,78
124,154,2
125,347,1
126,15,407
127,43,60
128,262,1
129,112,9
130,269,1
131,327,1
132,165,2
133,358,1
134,207,1
135,179,4
136,590,2
137,189,4
138,37,70
139,61,28
140,819,1
141,127,4
142,937,1
143,88,13
144,197,2
145,462,2
146,107,8
147,202,1
148,263,1
149,9,897
150,17,330
151,231,1
152,324,1
153,72,14
154,286,2
155,387,2
156,175,5
157,498,2
158,35,91
159,196,2
160,456,1
161,441,1
162,229,3
163,307,1
164,114,12
165,173,2
166,220,1
167,278,2
168,4,2731
169,55,41
170,59,28
171,1575,1
172,8,1056
173,100,8
174,241,2
175,450,1
176,717,1
177,161,3
178,39,73
179,23,181
180,49,47
181,176,4
182,7,1258
183,162,1
184,130,5
185,136,4
186,84,22
187,87,21
188,171,2
189,51,35
190,194,4
191,277,1
192,428,1
193,69,15
194,129,7
195,166,6
196,400,1
197,97,16
198,661,1
199,234,2
200,312,2
201,239,1
202,63,24
203,395,1
204,10,721
205,102,14
206,77,14
207,658,1
208,50,49
209,293,2
210,45,48
211,569,1
212,38,61
213,320,1
214,82,13
215,181,2
216,249,1
217,288,3
218,167,2
219,80,17
220,289,1
221,240,1
222,25,171
223,73,24
224,427,2
225,113,11
226,237,1
227,24,177
228,160,3
229,70,15
230,62,24
231,125,7
232,121,5
233,156,4
234,351,2
235,143,6
236,219,1
237,95,7
238,29,125
239,226,2
240,464,1
241,21,230
242,214,2
243,323,1
244,492,1
245,98,17
246,195,1
247,345,1
248,287,1
249,32,105
250,60,34
251,90,9
252,75,22
253,630,2
254,265,1
255,221,1
256,141,2
257,151,2
258,341,1
259,200,4
260,376,1
261,145,2
262,272,1
263,56,29
264,109,6
265,378,1
266,228,2
267,478,1
268,303,1
269,170,4
270,611,1
271,105,9
272,58,24
273,188,4
274,11,627
275,33,101
276,204,1
277,83,16
278,110,12
279,150,2
280,106,14
281,68,21
282,71,25
283,147,3
284,116,8
285,14,456
286,198,2
287,638,1
288,349,2
289,344,1
290,123,6
291,373,1
292,199,4
293,242,1
294,270,1
295,158,1
296,135,2
297,248,1
298,522,1
299,119,8
300,42,56
301,2,6034
302,79,16
303,201,2
304,131,6
305,149,7
306,276,3
307,294,1
308,357,1
309,118,3
310,124,10
311,30,117
312,99,10
313,302,2
314,184,1
315,66,25
316,67,26
317,46,57
318,186,4
319,275,2
320,311,1
321,535,1
322,174,1
323,172,3
324,562,1
325,252,3
326,153,4
327,144,5
328,18,306
329,74,17
330,138,6
331,104,8
332,180,2
333,134,6
334,36,88
335,187,5
336,208,2
337,89,19
